256
3/5 4/5
-5/13 12/13
15/17 -8/17
-7/25 -24/25
21/29 20/29
-9/41 40/41
35/37 -12/37
-11/61 -60/61
45/53 28/53
-33/65 56/65
13/85 -84/85
-63/65 -16/65
55/73 48/73
-39/89 80/89
15/113 -112/113
-77/85 -36/85
65/97 72/97
-17/145 144/145
99/101 -20/101
-91/109 -60/109
51/149 140/149
-19/181 180/181
117/125 -44/125
-105/137 -88/137
85/157 132/157
-57/185 176/185
21/221 -220/221
-143/145 -24/145
119/169 120/169
-95/193 168/193
23/265 -264/265
-165/173 -52/173
153/185 104/185
-133/205 156/205
105/233 -208/233
-69/269 -260/269
25/313 312/313
-195/197 28/197
187/205 -84/205
-171/221 -140/221
115/277 252/277
-75/317 308/317
27/365 -364/365
-221/229 -60/229
209/241 120/241
-161/289 240/289
29/421 -420/421
-255/257 -32/257
247/265 96/265
-231/281 160/281
207/305 -224/305
-175/337 -288/337
135/377 352/377
-87/425 416/425
31/481 -480/481
-285/293 -68/293
273/305 136/305
-253/325 204/325
225/353 -272/353
-189/389 -340/389
145/433 408/433
-93/485 476/485
33/545 -544/545
-323/325 -36/325
299/349 180/349
-275/373 252/373
203/445 -396/445
-155/493 -468/493
35/613 612/613
-357/365 76/365
345/377 -152/377
-325/397 -228/397
297/425 304/425
-261/461 380/461
217/505 -456/505
-165/557 -532/557
105/617 608/617
-37/685 684/685
399/401 -40/401
-391/409 -120/409
351/449 280/449
-319/481 360/481
279/521 -440/521
-231/569 -520/569
111/689 680/689
-39/761 760/761
437/445 -84/445
-425/457 -168/457
377/505 336/505
-341/541 420/541
185/697 -672/697
-41/841 -840/841
483/485 44/485
-475/493 132/493
459/509 -220/509
-435/533 -308/533
403/565 396/565
-315/653 572/653
259/709 -660/709
-195/773 -748/773
123/845 836/845
-43/925 924/925
525/533 -92/533
-513/545 -184/545
493/565 276/565
-465/593 368/593
429/629 -460/629
-385/673 -552/673
333/725 644/725
-273/785 736/785
205/853 -828/853
-129/929 -920/929
45/1013 1012/1013
-575/577 48/577
551/601 -240/601
-527/625 -336/625
455/697 528/697
-407/745 624/745
287/865 -816/865
-215/937 -912/937
47/1105 1104/1105
-621/629 100/629
609/641 -200/641
-589/661 -300/661
561/689 400/689
-481/769 600/769
429/821 -700/821
-369/881 -800/881
301/949 900/949
-141/1109 1100/1109
49/1201 -1200/1201
-675/677 -52/677
667/685 156/685
-651/701 260/701
627/725 -364/725
-595/757 -468/757
555/797 572/797
-451/901 780/901
387/965 -884/965
-315/1037 -988/1037
235/1117 1092/1117
-147/1205 1196/1205
51/1301 -1300/1301
-725/733 -108/733
713/745 216/745
-665/793 432/793
629/829 -540/829
-533/925 -756/925
473/985 864/985
-329/1129 1080/1129
245/1213 -1188/1213
-53/1405 -1404/1405
783/785 56/785
-775/793 168/793
759/809 -280/809
-703/865 -504/865
663/905 616/905
-615/953 728/953
559/1009 -840/1009
-495/1073 -952/1073
423/1145 1064/1145
-255/1313 1288/1313
159/1409 -1400/1409
-55/1513 -1512/1513
837/845 116/845
-825/857 232/857
805/877 -348/877
-777/905 -464/905
741/941 580/941
-697/985 696/985
645/1037 -812/1037
-585/1097 -928/1097
517/1165 1044/1165
-441/1241 1160/1241
357/1325 -1276/1325
-265/1417 -1392/1417
165/1517 1508/1517
-57/1625 1624/1625
899/901 -60/901
-851/949 -420/949
779/1021 660/1021
-731/1069 780/1069
611/1189 -1020/1189
-539/1261 -1140/1261
371/1429 1380/1429
-59/1741 1740/1741
957/965 -124/965
-945/977 -248/977
925/997 372/997
-897/1025 496/1025
861/1061 -620/1061
-817/1105 -744/1105
765/1157 868/1157
-705/1217 992/1217
637/1285 -1116/1285
-561/1361 -1240/1361
477/1445 1364/1445
-385/1537 1488/1537
285/1637 -1612/1637
-177/1745 -1736/1745
61/1861 1860/1861
-1023/1025 64/1025
1015/1033 -192/1033
-999/1049 -320/1049
975/1073 448/1073
-943/1105 576/1105
903/1145 -704/1145
-855/1193 -832/1193
799/1249 960/1249
-735/1313 1088/1313
663/1385 -1216/1385
-583/1465 -1344/1465
495/1553 1472/1553
-399/1649 1600/1649
295/1753 -1728/1753
-183/1865 -1856/1865
63/1985 1984/1985
-1085/1093 132/1093
1073/1105 -264/1105
-1025/1153 -528/1153
989/1189 660/1189
-893/1285 924/1285
833/1345 -1056/1345
-689/1489 -1320/1489
413/1765 1716/1765
-305/1873 1848/1873
65/2113 -2112/2113
-1155/1157 -68/1157
1147/1165 204/1165
-1131/1181 340/1181
1107/1205 -476/1205
-1075/1237 -612/1237
1035/1277 748/1277
-987/1325 884/1325
931/1381 -1020/1381
-795/1517 -1292/1517
715/1597 1428/1597
-627/1685 1564/1685
531/1781 -1700/1781
-427/1885 -1836/1885
315/1997 1972/1997
-195/2117 2108/2117
67/2245 -2244/2245
-1221/1229 -140/1229
1209/1241 280/1241
-1189/1261 420/1261
1161/1289 -560/1289
-1081/1369 -840/1369
969/1481 1120/1481
-901/1549 1260/1549
741/1709 -1540/1709
-649/1801 -1680/1801
549/1901 1820/1901
-201/2249 2240/2249
69/2381 -2380/2381
-1295/1297 -72/1297
