256
3/5 4/5
-3/5 -4/5
5/13 -12/13
-5/13 12/13
15/17 8/17
-15/17 -8/17
7/25 -24/25
-7/25 24/25
21/29 20/29
-21/29 -20/29
9/41 -40/41
-9/41 40/41
35/37 12/37
-35/37 -12/37
11/61 -60/61
-11/61 60/61
45/53 28/53
-45/53 -28/53
33/65 -56/65
-33/65 56/65
13/85 84/85
-13/85 -84/85
63/65 -16/65
-63/65 16/65
55/73 48/73
-55/73 -48/73
39/89 -80/89
-39/89 80/89
15/113 112/113
-15/113 -112/113
77/85 -36/85
-77/85 36/85
65/97 72/97
-65/97 -72/97
17/145 -144/145
-17/145 144/145
99/101 20/101
-99/101 -20/101
91/109 -60/109
-91/109 60/109
51/149 140/149
-51/149 -140/149
19/181 -180/181
-19/181 180/181
117/125 44/125
-117/125 -44/125
105/137 -88/137
-105/137 88/137
85/157 132/157
-85/157 -132/157
57/185 -176/185
-57/185 176/185
21/221 220/221
-21/221 -220/221
143/145 -24/145
-143/145 24/145
119/169 120/169
-119/169 -120/169
95/193 -168/193
-95/193 168/193
23/265 264/265
-23/265 -264/265
165/173 -52/173
-165/173 52/173
153/185 104/185
-153/185 -104/185
133/205 -156/205
-133/205 156/205
105/233 208/233
-105/233 -208/233
69/269 -260/269
-69/269 260/269
25/313 312/313
-25/313 -312/313
195/197 -28/197
-195/197 28/197
187/205 84/205
-187/205 -84/205
171/221 -140/221
-171/221 140/221
115/277 252/277
-115/277 -252/277
75/317 -308/317
-75/317 308/317
27/365 364/365
-27/365 -364/365
221/229 -60/229
-221/229 60/229
209/241 120/241
-209/241 -120/241
161/289 -240/289
-161/289 240/289
29/421 420/421
-29/421 -420/421
255/257 -32/257
-255/257 32/257
247/265 96/265
-247/265 -96/265
231/281 -160/281
-231/281 160/281
207/305 224/305
-207/305 -224/305
175/337 -288/337
-175/337 288/337
135/377 352/377
-135/377 -352/377
87/425 -416/425
-87/425 416/425
31/481 480/481
-31/481 -480/481
285/293 -68/293
-285/293 68/293
273/305 136/305
-273/305 -136/305
253/325 -204/325
-253/325 204/325
225/353 272/353
-225/353 -272/353
189/389 -340/389
-189/389 340/389
145/433 408/433
-145/433 -408/433
93/485 -476/485
-93/485 476/485
33/545 544/545
-33/545 -544/545
323/325 -36/325
-323/325 36/325
299/349 180/349
-299/349 -180/349
275/373 -252/373
-275/373 252/373
203/445 396/445
-203/445 -396/445
155/493 -468/493
-155/493 468/493
35/613 612/613
-35/613 -612/613
357/365 -76/365
-357/365 76/365
345/377 152/377
-345/377 -152/377
325/397 -228/397
-325/397 228/397
297/425 304/425
-297/425 -304/425
261/461 -380/461
-261/461 380/461
217/505 456/505
-217/505 -456/505
165/557 -532/557
-165/557 532/557
105/617 608/617
-105/617 -608/617
37/685 -684/685
-37/685 684/685
399/401 40/401
-399/401 -40/401
391/409 -120/409
-391/409 120/409
351/449 280/449
-351/449 -280/449
319/481 -360/481
-319/481 360/481
279/521 440/521
-279/521 -440/521
231/569 -520/569
-231/569 520/569
111/689 680/689
-111/689 -680/689
39/761 -760/761
-39/761 760/761
437/445 84/445
-437/445 -84/445
425/457 -168/457
-425/457 168/457
377/505 336/505
-377/505 -336/505
341/541 -420/541
-341/541 420/541
185/697 672/697
-185/697 -672/697
41/841 -840/841
-41/841 840/841
483/485 44/485
-483/485 -44/485
475/493 -132/493
-475/493 132/493
459/509 220/509
-459/509 -220/509
435/533 -308/533
-435/533 308/533
403/565 396/565
-403/565 -396/565
315/653 -572/653
-315/653 572/653
259/709 660/709
-259/709 -660/709
195/773 -748/773
-195/773 748/773
123/845 836/845
-123/845 -836/845
43/925 -924/925
-43/925 924/925
525/533 92/533
-525/533 -92/533
513/545 -184/545
-513/545 184/545
493/565 276/565
-493/565 -276/565
465/593 -368/593
-465/593 368/593
429/629 460/629
-429/629 -460/629
385/673 -552/673
-385/673 552/673
333/725 644/725
-333/725 -644/725
273/785 -736/785
-273/785 736/785
205/853 828/853
-205/853 -828/853
129/929 -920/929
-129/929 920/929
45/1013 1012/1013
-45/1013 -1012/1013
575/577 -48/577
-575/577 48/577
551/601 240/601
-551/601 -240/601
527/625 -336/625
-527/625 336/625
455/697 528/697
-455/697 -528/697
407/745 -624/745
-407/745 624/745
287/865 816/865
-287/865 -816/865
215/937 -912/937
-215/937 912/937
47/1105 1104/1105
-47/1105 -1104/1105
621/629 -100/629
-621/629 100/629
609/641 200/641
-609/641 -200/641
589/661 -300/661
-589/661 300/661
561/689 400/689
-561/689 -400/689
481/769 -600/769
-481/769 600/769
429/821 700/821
-429/821 -700/821
369/881 -800/881
-369/881 800/881
